titleId,level_1,Action,Adult,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,Game-Show,History,Horror,Music,Musical,Mystery,News,Reality-TV,Romance,Sci-Fi,Short,Sport,Talk-Show,Thriller,War,Western,title,averageRating,numVotes,director_name,budget,length,genres,director_rating,average_writer_rating
tt2784914,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wildlife: A Storytelling Manifesto,6.8,6,Jean-Paul Tremblay,90000.0,85.0,['Documentary'],1272875.0,3068293.0
tt2786098,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,The Haunted Swing,4.9,16,Dallin Nead,3000.0,83.0,"['Mystery', 'Thriller']",10415479.0,5849072.0
tt2786668,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,One Night Stands,3.6,5,Paul A. Storiale,5100.0,75.0,['Comedy'],610004.0,610004.0
tt2788470,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,We Can Get Them for You Wholesale,5.6,5,James Arrabito,2000.0,9.0,['Short'],939009.0,473846.5
tt2788892,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,From Nowhere,8.9,9,Vasco Xu,28000.0,15.0,"['Short', 'Drama']",641277.0,631792.0
tt2789014,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,100 Acres of Hell,3.1,195,Hank Leigh Hump,65000.0,85.0,"['Action', 'Crime', 'Horror']",918141.0,176254.66666666663
tt2790096,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,Revelation,7.3,71,Joseph Morgan,20000.0,12.0,"['Short', 'Horror']",1761.0,4266.0
tt2791290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Something Sinister,3.2,30,Christopher Dye,10000.0,73.0,['Horror'],653563.0,653563.0
tt2792254,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A Matter of Time,7.3,9,Jared Passante,3000.0,17.0,"['Short', 'Drama', 'Fantasy']",411371.0,4943216.5
tt2793374,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Erikka Innes: Smells Like Nerd Spirit,8.4,12,Davis Banta,2000.0,40.0,"['Short', 'Comedy']",6755224.0,310577.0
